IP地址,端口,端口,TLS,数据中心,地区,城市,延迟(ms),速度(MB/s)
8.209.214.157,8443,8443,TRUE,NRT,JP,Tokyo,1080,11.82
47.245.56.50,8443,8443,TRUE,NRT,JP,Tokyo,1056,11.79
47.91.15.247,8443,8443,TRUE,NRT,JP,Tokyo,1049,11.73
47.245.59.188,8443,8443,TRUE,NRT,JP,Tokyo,1039,11.71
47.245.8.156,8443,8443,TRUE,NRT,JP,Tokyo,1057,11.65
47.245.12.179,8443,8443,TRUE,NRT,JP,Tokyo,1051,11.65
47.74.13.66,8443,8443,TRUE,NRT,JP,Tokyo,1041,11.57
47.74.11.251,8443,8443,TRUE,NRT,JP,Tokyo,1039,11.56
47.91.16.214,8443,8443,TRUE,NRT,JP,Tokyo,1052,11.53
47.91.3.87,8443,8443,TRUE,NRT,JP,Tokyo,1056,11.52
47.245.53.50,8443,8443,TRUE,NRT,JP,Tokyo,1055,11.44
47.245.62.84,8443,8443,TRUE,NRT,JP,Tokyo,1061,11.34
47.91.1.199,8443,8443,TRUE,NRT,JP,Tokyo,1040,11.26
47.245.3.137,8443,8443,TRUE,NRT,JP,Tokyo,1056,11.25
47.74.34.73,8443,8443,TRUE,NRT,JP,Tokyo,1001,11.21
47.245.42.210,8443,8443,TRUE,NRT,JP,Tokyo,1055,11.18
47.245.41.69,8443,8443,TRUE,NRT,JP,Tokyo,1070,11.14
47.74.5.233,8443,8443,TRUE,NRT,JP,Tokyo,1058,11.02
47.91.10.228,8443,8443,TRUE,NRT,JP,Tokyo,1050,10.99
47.245.39.28,8443,8443,TRUE,NRT,JP,Tokyo,1075,10.96
47.245.15.207,8443,8443,TRUE,NRT,JP,Tokyo,1037,10.9
47.245.12.38,8443,8443,TRUE,NRT,JP,Tokyo,1059,10.73
8.209.241.128,8443,8443,TRUE,NRT,JP,Tokyo,1057,10.69
47.74.34.38,8443,8443,TRUE,NRT,JP,Tokyo,1057,10.66
146.56.161.141,45593,45593,TRUE,ICN,KR,Seoul,1124,10.52
47.74.3.2,8443,8443,TRUE,NRT,JP,Tokyo,1039,10.47
8.209.243.172,8443,8443,TRUE,NRT,JP,Tokyo,1072,10.41
129.154.48.176,36355,36355,TRUE,ICN,KR,Seoul,1127,10.35
47.245.52.165,8443,8443,TRUE,NRT,JP,Tokyo,1054,10.35
47.245.2.231,8443,8443,TRUE,NRT,JP,Tokyo,1035,10.35
47.74.15.117,8443,8443,TRUE,NRT,JP,Tokyo,998,10.34
47.245.37.94,8443,8443,TRUE,NRT,JP,Tokyo,1042,10.13
8.209.240.229,8443,8443,TRUE,NRT,JP,Tokyo,1037,9.88
47.245.11.108,8443,8443,TRUE,NRT,JP,Tokyo,1057,9.77
47.245.9.99,8443,8443,TRUE,NRT,JP,Tokyo,1056,9.41
47.91.29.108,8443,8443,TRUE,NRT,JP,Tokyo,999,9.34
47.91.2.5,8443,8443,TRUE,NRT,JP,Tokyo,1046,8.95
47.91.21.107,8443,8443,TRUE,NRT,JP,Tokyo,1041,8.93
47.245.58.175,8443,8443,TRUE,NRT,JP,Tokyo,1040,8.84
47.245.37.12,8443,8443,TRUE,NRT,JP,Tokyo,1057,8.77
47.91.21.149,8443,8443,TRUE,NRT,JP,Tokyo,1046,8.67
8.209.222.31,8443,8443,TRUE,NRT,JP,Tokyo,1049,8.62
47.245.37.41,8443,8443,TRUE,NRT,JP,Tokyo,1037,8.2
47.245.29.126,8443,8443,TRUE,NRT,JP,Tokyo,1078,7.95
47.245.42.162,8443,8443,TRUE,NRT,JP,Tokyo,1054,7.63
47.91.16.198,8443,8443,TRUE,NRT,JP,Tokyo,1081,7.35
8.209.252.13,8443,8443,TRUE,NRT,JP,Tokyo,1058,7.33
47.245.34.36,8443,8443,TRUE,NRT,JP,Tokyo,1067,7.23
8.209.212.5,8443,8443,TRUE,NRT,JP,Tokyo,1042,6.94
138.2.228.59,19442,19442,TRUE,SJC,US,San Jose,209,6.84
47.74.42.111,8443,8443,TRUE,NRT,JP,Tokyo,1079,6.39
8.219.154.107,8443,8443,TRUE,SIN,SG,Singapore,1059,3.69
